"","ERR5236650_f_Aligned.sortedByCoord.out.tsv","ERR5236654_f_Aligned.sortedByCoord.out.tsv","ERR5236653_f_Aligned.sortedByCoord.out.tsv","ERR5236624_f_Aligned.sortedByCoord.out.tsv","ERR5236633_f_Aligned.sortedByCoord.out.tsv","ERR5236639_f_Aligned.sortedByCoord.out.tsv","ERR5236618_f_Aligned.sortedByCoord.out.tsv","ERR5236622_m_Aligned.sortedByCoord.out.tsv","ERR5236635_m_Aligned.sortedByCoord.out.tsv","ERR5236655_m_Aligned.sortedByCoord.out.tsv","ERR5236616_m_Aligned.sortedByCoord.out.tsv","ERR5236625_m_Aligned.sortedByCoord.out.tsv","ERR5236641_m_Aligned.sortedByCoord.out.tsv","ERR5236631_m_Aligned.sortedByCoord.out.tsv","ERR5236648_m_Aligned.sortedByCoord.out.tsv","ERR5236642_m_Aligned.sortedByCoord.out.tsv","ERR5236652_m_Aligned.sortedByCoord.out.tsv"
"AC022762.2",301,170,91,342,333,245,164,102,199,161,170,260,141,389,129,147,152
"AC022778.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0
"AC022784.1",109,83,68,58,45,23,48,11,28,33,49,19,62,44,33,77,46
"AC022784.2",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0
"AC022784.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022784.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AC022784.5",61,32,42,37,74,55,60,37,32,35,31,51,38,87,46,33,44
"AC022784.6",8,0,4,5,10,0,12,2,3,1,1,1,3,7,2,3,3
"AC022790.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022795.1",1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"AC022796.1",0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"AC022809.1",10,5,7,17,12,9,10,8,20,3,8,18,5,7,4,5,5
"AC022816.1",6,4,0,3,0,0,0,0,2,1,0,0,1,0,1,2,2
"AC022819.1",8,10,15,6,6,11,2,2,5,4,7,8,11,5,17,31,6
"AC022826.1",0,3,2,2,0,0,0,0,0,0,0,0,1,0,3,0,0
"AC022826.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022832.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022858.1",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"AC022868.1",2,3,2,0,2,1,0,3,0,2,1,1,1,2,3,0,1
"AC022872.1",2,0,3,2,2,0,2,0,1,0,0,0,4,0,2,0,2
"AC022874.1",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"AC022878.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC022880.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022880.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022882.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022893.1",580,325,467,495,521,465,302,238,337,240,378,387,400,426,350,556,230
"AC022893.2",846,712,597,543,664,698,193,84,133,407,397,307,660,723,334,365,268
"AC022893.3",13,13,3,6,13,10,3,5,10,5,3,3,7,10,10,19,16
"AC022898.1",26,1,3,1,3,12,4,1,13,0,1,4,11,7,0,8,3
"AC022898.2",41,16,18,33,35,30,9,8,21,15,22,29,13,24,21,12,14
"AC022903.1",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022903.2",1,1,1,0,1,0,1,1,0,1,1,0,0,0,3,0,2
"AC022905.1",0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0
"AC022915.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022915.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022915.3",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"AC022916.1",135,108,89,95,89,46,73,18,76,70,95,54,92,66,76,76,63
"AC022916.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022916.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022916.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022919.1",0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0
"AC022929.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022929.2",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"AC022960.1",0,3,6,0,0,1,0,0,1,1,0,0,6,1,8,2,1
"AC022960.2",23,12,10,50,42,10,23,18,29,24,19,18,16,7,28,11,16
"AC022960.3",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"AC022966.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC022968.1",5,1,0,0,0,0,0,0,0,5,1,1,4,0,2,0,2
"AC022973.1",0,2,2,1,0,0,0,0,1,0,1,1,1,0,2,1,0
"AC022973.2",0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0
"AC022973.3",2,1,2,0,0,0,0,0,3,0,0,0,4,0,4,0,0
"AC022973.4",6,17,21,3,4,12,0,0,0,11,10,13,12,3,13,25,4
"AC023024.1",64,47,77,55,58,48,36,55,60,41,44,65,57,50,57,75,29
"AC023024.2",105,61,81,103,77,79,25,19,32,39,64,112,82,75,91,74,48
"AC023034.1",0,0,1,3,0,0,0,2,0,0,8,2,1,0,3,2,1
"AC023034.2",0,2,2,0,2,0,2,0,1,0,0,2,4,0,0,1,3
"AC023043.1",7,2,2,2,9,1,0,1,3,5,3,6,2,1,2,3,3
"AC023043.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"AC023043.3",1,1,0,1,1,1,0,0,0,0,1,4,0,0,0,4,1
"AC023043.4",5,6,1,3,1,1,1,1,2,3,2,5,3,2,4,11,5
"AC023050.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023050.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023050.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023050.4",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AC023051.1",8,2,3,2,7,6,12,2,5,1,3,1,4,4,3,5,6
"AC023051.2",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"AC023055.1",0,1,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0
"AC023078.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023078.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023078.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC023078.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023078.5",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"AC023078.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023078.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023090.1",1,1,4,0,0,0,0,1,0,0,1,0,1,1,0,0,2
"AC023090.2",3,2,2,0,2,0,2,1,6,1,5,1,3,2,6,4,4
"AC023095.1",1,0,1,3,2,3,0,2,1,0,2,2,0,0,2,2,1
"AC023115.1",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"AC023128.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023128.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023136.1",4,5,1,2,9,8,2,1,0,1,0,1,3,2,2,5,0
"AC023137.1",0,0,0,1,0,0,0,0,3,1,1,0,0,1,0,0,1
"AC023141.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023141.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023141.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023141.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023141.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023141.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023141.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023141.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023141.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023141.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC023141.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023141.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023141.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023154.1",3,0,0,4,3,0,1,1,2,1,2,2,1,0,1,1,0
"AC023157.1",1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"AC023157.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC023157.3",462,204,167,268,302,190,220,51,186,175,227,147,199,230,171,129,176
"AC023158.1",2,0,0,2,5,0,0,2,1,3,6,0,1,0,1,0,0
"AC023158.2",1,1,1,0,1,0,3,0,0,0,3,0,1,2,1,0,0
"AC023161.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AC023161.2",3,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,2
"AC023162.1",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"AC023194.1",3,5,4,3,1,0,0,0,0,1,0,2,4,2,7,0,1
"AC023194.2",7,4,1,7,8,4,1,3,1,2,2,0,2,9,4,1,1
"AC023194.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023200.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC023202.1",0,1,4,0,0,0,0,1,0,0,0,3,0,0,0,1,0
"AC023206.1",2,2,6,1,9,7,0,0,0,2,3,0,4,2,1,2,6
"AC023232.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023245.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023245.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC023271.1",0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,6,6
"AC023274.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023274.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023300.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023300.2",4,4,3,5,1,2,6,4,8,2,3,5,3,6,0,1,3
"AC023300.3",1,0,2,0,4,0,0,1,0,0,1,3,0,4,5,1,0
"AC023301.1",739,996,483,1576,1109,944,371,315,622,761,1622,1476,903,880,978,713,854
"AC023302.1",22,11,7,16,21,9,34,15,32,6,11,12,4,10,9,3,6
"AC023310.1",0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"AC023310.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023310.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023310.4",3,7,4,21,12,6,9,11,8,2,2,12,1,16,3,5,2
"AC023347.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023347.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023355.1",1448,609,444,853,1054,521,541,106,607,610,728,469,708,513,652,124,656
"AC023385.1",4,0,0,4,3,0,0,2,1,0,0,0,1,1,4,0,1
"AC023389.1",2,1,1,4,3,2,2,2,5,0,0,2,2,0,3,0,3
"AC023389.2",0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0
"AC023394.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023394.2",1,1,0,0,2,3,0,7,0,0,1,2,2,0,0,3,0
"AC023403.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023421.1",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"AC023421.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"AC023424.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023424.2",0,4,3,0,0,3,0,0,1,1,0,1,1,1,1,0,1
"AC023442.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023442.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3
"AC023442.3",0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,2
"AC023449.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC023449.2",3,6,19,9,7,10,5,2,5,3,11,14,3,11,6,14,16
"AC023469.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023469.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023481.1",1,3,0,0,1,0,0,0,0,4,1,2,2,0,2,1,2
"AC023490.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023490.2",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC023490.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AC023509.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023509.2",0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0
"AC023509.3",26,12,4,35,41,32,18,17,17,10,13,17,10,39,6,5,13
"AC023509.4",138,53,56,100,114,47,164,257,248,38,69,58,48,82,51,41,55
"AC023509.5",1,1,1,2,1,0,1,0,0,0,1,1,1,0,0,0,0
"AC023509.6",0,6,2,2,0,1,0,0,0,3,1,0,2,2,2,4,2
"AC023510.1",1,2,0,2,2,0,0,0,1,0,5,1,3,1,0,1,2
"AC023510.2",59,22,18,47,55,18,54,25,29,22,40,23,27,26,27,21,26
"AC023511.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023511.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023512.1",0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,1,1
"AC023513.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC023538.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023575.1",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"AC023590.1",5,10,6,8,2,7,2,2,5,3,3,2,5,4,7,6,6
"AC023593.1",55,49,32,66,35,30,20,24,27,32,45,37,34,30,41,33,38
"AC023595.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023632.1",12,13,14,16,16,12,6,2,4,15,9,5,4,15,8,11,6
"AC023632.2",101,69,62,79,80,69,42,13,43,50,55,46,62,72,54,75,47
"AC023632.3",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"AC023632.4",0,0,1,0,1,1,2,0,2,1,0,1,0,0,0,2,1
"AC023632.5",0,2,0,0,0,1,0,0,3,0,1,1,1,0,1,0,0
"AC023632.6",578,645,507,438,385,383,104,37,83,546,487,168,730,266,485,469,514
"AC023644.1",858,296,218,372,475,301,241,69,232,224,296,166,194,309,196,114,280
"AC023669.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC023669.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023762.1",1,1,0,4,3,5,1,1,1,0,1,2,0,1,1,0,2
"AC023781.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023790.1",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC023790.2",3,9,3,4,4,3,5,4,0,4,1,9,5,2,2,3,4
"AC023794.1",3,0,1,0,0,0,0,1,1,0,2,2,0,0,1,4,1
"AC023794.2",0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"AC023794.3",1,0,0,1,1,1,1,0,1,1,3,0,0,3,0,2,0
"AC023794.4",1,6,2,7,4,3,2,3,1,3,4,5,1,1,3,3,1
"AC023794.5",0,0,2,0,0,0,0,4,1,0,1,1,0,0,3,1,1
"AC023796.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023796.2",0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,2,0
"AC023813.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023813.2",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"AC023813.3",5,0,4,2,2,3,1,4,4,0,1,2,2,3,1,10,1
"AC023813.4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC023818.1",32,53,115,29,14,43,14,16,14,37,29,26,64,25,68,200,47
"AC023824.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023824.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023824.3",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC023824.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023824.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023824.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023825.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023825.2",0,2,4,0,0,0,0,0,0,0,0,2,0,1,0,8,0
"AC023827.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023830.1",4,4,6,3,1,2,1,0,1,1,6,3,7,1,2,2,0
"AC023830.2",0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1
"AC023830.3",50,26,26,59,24,23,40,17,41,31,28,46,29,35,24,56,36
"AC023855.1",0,2,3,1,3,1,4,2,6,4,2,2,11,1,8,4,3
"AC023866.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AC023866.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023886.1",11,7,6,13,14,6,3,10,15,10,8,6,5,5,7,7,8
"AC023886.2",4,1,3,9,5,4,3,0,0,3,2,3,4,10,1,2,2
"AC023905.1",769,976,892,307,180,826,48,12,35,744,426,54,1490,339,431,230,295
"AC023906.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AC023906.2",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC023906.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023906.4",31,42,60,34,8,65,4,1,7,74,62,19,105,15,169,63,81
"AC023906.5",1,25,46,5,1,8,0,0,1,14,10,12,31,3,35,53,10
"AC023908.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC023908.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023908.3",113,85,59,121,79,84,44,19,45,66,92,92,112,65,111,56,54
"AC023932.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023934.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC023946.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023968.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023968.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC023983.1",0,1,1,0,0,0,0,1,1,1,2,0,0,1,2,3,0
"AC023983.2",16,2,7,11,7,7,7,16,8,2,9,10,1,15,4,3,5
"AC024022.1",1,1,0,0,3,1,1,6,3,2,1,1,0,1,3,0,2
"AC024023.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024028.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024060.1",192,88,93,206,201,121,159,100,223,88,91,102,61,149,61,79,106
"AC024067.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024075.1",63,113,111,43,13,58,21,11,9,107,67,41,135,30,175,89,64
"AC024075.2",720,456,344,721,607,392,428,182,429,425,485,342,331,401,311,341,626
"AC024075.3",50,68,55,22,19,37,24,10,55,51,29,25,69,23,68,49,32
"AC024082.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024082.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024084.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC024085.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AC024132.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024132.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024132.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024145.1",8,8,16,2,8,7,14,23,14,12,7,5,10,3,22,17,11
"AC024153.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024224.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024224.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024230.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024243.1",13,5,2,19,13,7,13,7,10,6,7,9,7,6,10,3,9
"AC024255.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024257.1",1,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0
"AC024257.2",12,12,8,13,24,9,10,3,1,10,12,8,12,25,14,4,0
"AC024257.3",239,171,111,218,214,87,95,50,113,135,158,138,171,73,259,143,122
"AC024257.4",96,26,30,68,55,26,74,38,124,27,34,40,21,46,16,29,56
"AC024257.5",7,8,5,7,9,2,14,11,15,4,11,7,8,9,12,7,7
"AC024267.1",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"AC024267.2",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC024267.3",22,14,19,8,14,9,13,33,40,11,9,9,43,11,27,26,9
"AC024267.4",1,5,4,3,2,4,0,0,1,1,4,0,1,1,9,2,2
"AC024267.5",0,2,0,1,1,4,0,0,0,1,0,2,4,1,2,2,0
"AC024267.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024270.1",4,2,7,7,6,3,3,0,2,1,0,1,1,0,4,7,1
"AC024270.2",13,16,19,13,13,12,4,0,3,8,20,9,16,22,19,17,11
"AC024270.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024270.4",1,6,8,2,1,2,3,2,1,4,5,3,9,1,11,7,3
"AC024288.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024293.1",100,63,59,76,99,29,155,318,172,37,26,40,19,78,37,51,52
"AC024337.1",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"AC024337.2",6,21,6,19,14,3,6,7,15,4,16,4,9,24,16,26,24
"AC024341.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"AC024361.1",66,67,87,103,87,54,59,63,641,40,182,110,51,52,449,233,783
"AC024361.2",17,5,5,8,7,4,4,5,3,2,10,8,2,6,5,7,16
"AC024361.3",8,1,5,2,4,2,1,0,2,1,1,2,2,2,2,3,3
"AC024382.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024405.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024405.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024451.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"AC024451.2",9,18,12,14,12,17,1,0,1,13,18,22,9,15,22,44,14
"AC024451.3",0,0,1,0,1,2,0,1,0,0,1,0,2,0,4,8,0
"AC024451.4",8,3,8,9,8,11,9,2,7,9,9,5,7,6,5,9,5
"AC024475.1",1,0,0,2,0,1,0,0,0,2,2,1,3,0,0,1,2
"AC024475.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024475.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024475.4",3,4,5,2,3,3,0,0,0,2,4,2,5,0,3,1,2
"AC024558.1",9,16,22,13,11,9,0,0,0,8,19,17,13,12,24,23,11
"AC024559.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"AC024559.2",0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0
"AC024560.1",19,3,19,14,69,1,14,43,25,15,7,21,1,34,4,20,25
"AC024560.2",701,779,617,639,440,213,182,37,200,422,468,454,388,466,503,514,443
"AC024560.3",44,26,27,32,33,24,29,41,46,18,34,9,38,26,66,29,23
"AC024563.1",3,1,5,2,3,0,1,0,0,1,3,2,1,3,1,4,1
"AC024563.2",1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0
"AC024568.1",1,2,0,1,1,0,0,1,0,1,0,1,2,0,2,1,5
"AC024575.1",29,11,15,17,21,9,23,6,7,17,12,15,10,14,11,15,4
"AC024579.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024580.1",11,25,15,8,11,18,1,2,3,31,13,5,21,5,53,17,10
"AC024580.2",18,3,7,8,17,2,28,12,32,4,4,8,6,17,3,7,8
"AC024581.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024581.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024587.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC024587.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024589.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024589.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024592.1",0,1,3,2,3,1,3,0,2,0,1,1,0,0,2,1,2
"AC024592.2",461,681,693,352,321,492,136,44,170,535,521,202,923,560,1158,553,587
"AC024592.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024595.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024597.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024598.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024600.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC024601.1",49,48,37,52,27,36,7,5,5,27,55,107,38,59,40,61,40
"AC024603.1",0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,0,0
"AC024610.1",1,5,1,0,28,2,2,4,3,3,9,1,0,4,3,1,7
"AC024610.2",104,109,72,109,207,154,209,449,320,53,155,115,73,147,76,69,95
"AC024614.1",1,0,2,0,1,0,0,3,0,0,0,0,0,1,1,0,0
"AC024614.2",0,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"AC024614.3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"AC024614.4",6,6,12,9,13,13,7,7,5,4,14,8,6,2,7,2,7
"AC024619.1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"AC024619.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024619.3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC024619.4",2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
"AC024651.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024651.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC024681.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
