"","ERR5236650_f_Aligned.sortedByCoord.out.tsv","ERR5236654_f_Aligned.sortedByCoord.out.tsv","ERR5236653_f_Aligned.sortedByCoord.out.tsv","ERR5236624_f_Aligned.sortedByCoord.out.tsv","ERR5236633_f_Aligned.sortedByCoord.out.tsv","ERR5236639_f_Aligned.sortedByCoord.out.tsv","ERR5236618_f_Aligned.sortedByCoord.out.tsv","ERR5236622_m_Aligned.sortedByCoord.out.tsv","ERR5236635_m_Aligned.sortedByCoord.out.tsv","ERR5236655_m_Aligned.sortedByCoord.out.tsv","ERR5236616_m_Aligned.sortedByCoord.out.tsv","ERR5236625_m_Aligned.sortedByCoord.out.tsv","ERR5236641_m_Aligned.sortedByCoord.out.tsv","ERR5236631_m_Aligned.sortedByCoord.out.tsv","ERR5236648_m_Aligned.sortedByCoord.out.tsv","ERR5236642_m_Aligned.sortedByCoord.out.tsv","ERR5236652_m_Aligned.sortedByCoord.out.tsv"
"POLDIP2",3414,2404,1888,3716,3350,1839,1511,1745,1870,1664,1842,2049,1421,2500,1479,2161,2126
"POLDIP3",3764,2760,2394,3980,3142,2402,1523,782,1610,2143,2394,2750,2198,3201,2152,2709,2378
"POLE",1370,1133,1128,1482,1180,1219,772,1182,840,932,1152,998,1064,955,1539,1215,1234
"POLE2",265,198,164,213,157,115,124,31,75,194,195,108,250,119,243,123,201
"POLE3",781,727,425,861,603,555,308,187,325,706,570,608,547,625,511,618,680
"POLE4",3444,868,1056,2193,2709,1119,2983,1249,2937,960,976,752,775,2485,572,521,1221
"POLG",1134,1271,781,1329,746,844,179,58,148,950,908,858,828,975,1181,1337,922
"POLG2",431,408,344,404,362,274,183,120,220,289,333,353,367,409,323,369,263
"POLH",337,455,491,283,226,329,98,40,84,317,264,255,437,247,366,425,287
"POLH-AS1",16,29,19,31,10,24,13,4,13,24,16,14,24,17,24,24,37
"POLHP1",0,2,0,2,2,1,0,0,0,0,1,0,3,0,0,1,2
"POLI",1200,1327,1250,1203,1146,1183,387,177,358,1112,1004,1177,1259,973,1415,1614,1273
"POLK",270,565,502,346,208,334,82,69,101,411,306,373,696,215,777,694,329
"POLL",2171,1335,997,2317,2065,923,1398,1102,2030,1264,1316,1016,1114,1265,1256,1053,1432
"POLM",1381,916,896,1189,1033,863,600,273,909,637,884,572,875,1134,929,892,992
"POLN",156,143,148,176,164,194,105,139,140,117,160,128,144,129,231,219,127
"POLQ",7,4,9,10,6,2,2,2,2,5,9,9,3,9,20,10,7
"POLR1A",1302,1268,883,1378,1050,824,550,460,480,1181,1152,730,960,689,1558,833,988
"POLR1B",565,445,395,516,417,246,236,91,208,496,412,250,398,290,418,360,350
"POLR1C",460,360,174,553,468,319,347,309,464,358,325,249,209,387,211,281,389
"POLR1D",3246,1826,1587,2510,2766,1785,1781,1268,1703,1316,1729,2010,1355,2735,1291,2071,1723
"POLR1E",512,382,368,435,424,248,397,370,396,311,316,344,324,307,351,467,344
"POLR2A",15090,18823,18152,20672,12847,15012,7725,2743,6788,14063,17447,12429,17658,12880,16195,14057,18710
"POLR2B",2023,2492,1698,2269,1406,1587,263,56,174,2240,1796,1692,2074,1279,2286,2360,1782
"POLR2C",2895,2194,1527,3158,2513,1664,906,397,891,1678,1792,1768,1536,1850,1684,2114,2101
"POLR2CP1",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"POLR2D",644,495,229,723,643,396,371,365,395,577,461,536,338,630,330,438,421
"POLR2E",5626,3188,2651,6114,5759,2876,3563,3992,3971,2412,2829,3538,2007,4891,2425,2515,3085
"POLR2F",1192,603,525,1248,1323,682,806,1081,1097,531,605,774,478,1151,541,863,703
"POLR2G",2567,1085,850,2023,2272,973,1622,872,1750,1064,1136,972,935,1508,839,934,1434
"POLR2H",863,648,715,1031,854,643,623,879,914,597,659,843,535,868,562,935,811
"POLR2I",170,72,65,192,207,67,233,497,335,73,82,73,43,190,55,65,118
"POLR2J",1258,783,465,1203,1290,592,928,1369,1351,536,588,645,442,929,433,601,710
"POLR2J2",13,18,8,5,8,2,9,1,8,11,10,4,7,15,15,4,9
"POLR2J3",188,151,144,139,184,101,296,196,178,92,130,54,104,196,106,57,127
"POLR2J4",664,402,513,544,404,358,216,133,317,418,575,290,455,439,416,428,538
"POLR2K",1689,1199,745,1469,1401,840,730,421,582,917,942,1019,705,1188,812,1002,1013
"POLR2KP1",4,5,3,13,3,5,0,0,1,3,3,3,10,1,5,4,3
"POLR2KP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"POLR2L",2493,790,804,2238,2868,990,2558,3331,3757,710,778,1073,585,1834,717,845,1164
"POLR2LP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POLR2M",620,614,465,638,688,457,306,272,391,522,577,641,449,531,496,1060,628
"POLR3A",1773,1922,1488,2093,1554,1251,993,824,1071,1665,1421,1328,1631,1257,2061,1797,1803
"POLR3B",445,347,171,403,333,207,147,68,128,339,263,236,298,221,297,143,180
"POLR3C",434,585,373,494,349,256,284,318,276,400,379,294,337,248,476,425,414
"POLR3D",421,549,445,649,400,307,181,133,191,457,390,366,539,318,571,499,325
"POLR3DP1",2,0,0,5,5,4,0,0,1,2,1,0,1,1,0,0,0
"POLR3E",2798,2129,2587,2431,2203,1671,967,470,1084,1869,2060,1625,2617,1827,2339,1871,2319
"POLR3F",1288,1154,755,1659,1199,880,835,641,891,1154,1220,1098,799,942,1176,990,1309
"POLR3G",81,101,118,131,87,79,28,40,42,114,116,77,92,67,139,145,116
"POLR3GL",712,397,252,639,762,375,524,290,605,270,450,385,286,590,293,353,415
"POLR3GP1",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"POLR3GP2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"POLR3H",1600,1031,702,1917,1332,875,869,753,741,902,953,710,900,943,757,665,1005
"POLR3K",287,129,83,277,309,105,228,148,207,113,115,123,103,250,100,128,140
"POLR3KP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POLR3KP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
